Timestamp[nanosec],lat[deg],lon[deg],alt[deg]
1666189762065, 43.6157008, 7.0670424, 174.59999084472656
1666189762695, 43.615714, 7.0670538, 174.59999084472656
1666189764059, 43.6157199, 7.0670577, 174.59999084472656
1666189765065, 43.6157221, 7.0670589, 174.59999084472656
1666189766054, 43.6157258, 7.0670612, 174.59999084472656
1666189767066, 43.615727, 7.0670618, 174.59999084472656
1666189768045, 43.6157276, 7.067062, 174.59999084472656
1666189769055, 43.6157279, 7.0670619, 174.59999084472656
1666189770060, 43.6157286, 7.0670612, 174.59999084472656
1666189771062, 43.615729, 7.0670607, 174.59999084472656
1666189772059, 43.6157297, 7.0670603, 174.59999084472656
1666189773049, 43.6157299, 7.0670596, 174.59999084472656
1666189773757, 43.6157299, 7.0670592, 174.59999084472656
1666189774373, 43.6157279, 7.0670524, 174.59999084472656
1666189775062, 43.6157275, 7.0670498, 174.59999084472656
1666189776060, 43.6157265, 7.0670467, 174.59999084472656
1666189777064, 43.6157247, 7.0670431, 174.59999084472656
1666189778054, 43.6157225, 7.0670413, 174.59999084472656
1666189779041, 43.615719, 7.0670401, 174.59999084472656
1666189779663, 43.6157164, 7.0670391, 174.59999084472656
1666189780250, 43.6157117, 7.0670375, 174.59999084472656
1666189780892, 43.6157036, 7.0670353, 174.59999084472656
1666189781477, 43.6157022, 7.0670364, 174.59999084472656
1666189782052, 43.6157006, 7.067035, 174.59999084472656
1666189782634, 43.6156993, 7.0670338, 174.59999084472656
1666189783274, 43.6156979, 7.067032, 174.59999084472656
1666189783855, 43.6156962, 7.067029, 174.59999084472656
1666189784416, 43.6156951, 7.0670276, 174.59999084472656
1666189784951, 43.6156931, 7.0670251, 174.59999084472656
1666189785553, 43.6156906, 7.0670239, 174.59999084472656
1666189786716, 43.6156796, 7.0670145, 174.59999084472656
1666189787243, 43.6156745, 7.0670065, 174.59999084472656
1666189787816, 43.6156698, 7.0670013, 174.59999084472656
1666189788379, 43.6156654, 7.0669954, 174.59999084472656
1666189788918, 43.6156616, 7.0669906, 174.59999084472656
1666189789523, 43.6156571, 7.0669801, 174.59999084472656
1666189790056, 43.6156536, 7.0669715, 174.59999084472656
1666189790633, 43.6156499, 7.0669558, 174.59999084472656
1666189791056, 43.6156478, 7.0669464, 174.59999084472656
1666189791753, 43.6156442, 7.0669274, 174.59999084472656
1666189793062, 43.6156358, 7.0668466, 174.59999084472656
1666189793953, 43.6156331, 7.0668291, 174.59999084472656
1666189794501, 43.615631, 7.0668202, 174.59999084472656
1666189795029, 43.6156293, 7.0668126, 174.59999084472656
1666189795619, 43.6156269, 7.066804, 174.59999084472656
1666189796054, 43.6156251, 7.0667978, 174.59999084472656
1666189796633, 43.6156219, 7.0667891, 174.59999084472656
1666189797712, 43.615617, 7.0667732, 174.59999084472656
1666189798754, 43.6156131, 7.0667578, 174.59999084472656
1666189799852, 43.6156095, 7.0667417, 174.59999084472656
1666189800410, 43.6156043, 7.0667232, 174.09999084472656
1666189800935, 43.615602, 7.0667168, 174.09999084472656
1666189801532, 43.6155996, 7.0667102, 174.09999084472656
1666189802066, 43.6155974, 7.066704, 174.09999084472656
1666189802615, 43.6155969, 7.0666993, 174.09999084472656
1666189803056, 43.6155976, 7.0666958, 174.09999084472656
